PassengerId,Predicted,Survived
1,0,0
2,1,1
3,1,1
4,1,1
5,0,0
6,0,0
7,0,0
8,0,0
9,1,1
10,1,1
11,1,1
12,1,1
13,0,0
14,0,0
15,1,0
16,1,1
17,0,0
18,0,1
19,0,0
20,1,1
21,0,0
22,0,1
23,1,1
24,0,1
25,0,0
26,1,1
27,0,0
28,0,0
29,1,1
30,0,0
31,0,0
32,1,1
33,1,1
34,0,0
35,0,0
36,0,0
37,0,1
38,0,0
39,0,0
40,1,1
41,0,0
42,1,0
43,0,0
44,1,1
45,0,1
46,0,0
47,0,0
48,1,1
49,0,0
50,0,0
51,0,0
52,0,0
53,1,1
54,1,1
55,1,0
56,1,1
57,1,1
58,0,0
59,1,1
60,0,0
61,1,0
62,1,1
63,0,0
64,0,0
65,0,0
66,1,1
67,1,1
68,0,0
69,1,1
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,1,1
76,0,0
77,0,0
78,0,0
79,1,1
80,0,1
81,0,0
82,0,1
83,1,1
84,0,0
85,1,1
86,1,1
87,0,0
88,0,0
89,1,1
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,1,1
99,1,1
100,0,0
101,0,0
102,0,0
103,0,0
104,0,0
105,0,0
106,0,0
107,0,1
108,0,1
109,0,0
110,1,1
111,0,0
112,0,0
113,0,0
114,0,0
115,0,0
116,0,0
117,0,0
118,0,0
119,0,0
120,0,0
121,0,0
122,0,0
123,0,0
124,1,1
125,0,0
126,1,1
127,0,0
128,0,1
129,1,1
130,1,0
131,0,0
132,0,0
133,0,0
134,1,1
135,0,0
136,0,0
137,1,1
138,1,0
139,0,0
140,0,0
141,0,0
142,0,1
143,1,1
144,0,0
145,0,0
146,0,0
147,0,1
148,0,0
149,0,0
150,0,0
151,0,0
152,1,1
153,0,0
154,0,0
155,0,0
156,0,0
157,1,1
158,0,0
159,0,0
160,0,0
161,1,0
162,1,1
163,0,0
164,0,0
165,0,0
166,1,1
167,1,1
168,0,0
169,0,0
170,0,0
171,0,0
172,0,0
173,1,1
174,0,0
175,0,0
176,0,0
177,0,0
178,1,0
179,0,0
180,0,0
181,0,0
182,0,0
183,0,0
184,1,1
185,1,1
186,0,0
187,1,1
188,0,1
189,0,0
190,0,0
191,1,1
192,0,0
193,0,1
194,1,1
195,1,1
196,1,1
197,0,0
198,0,0
199,1,1
200,1,0
201,0,0
202,0,0
203,0,0
204,0,0
205,0,1
206,0,0
207,0,0
208,1,1
209,1,1
210,1,1
211,0,0
212,1,1
213,0,0
214,0,0
215,0,0
216,1,1
217,1,1
218,0,0
219,1,1
220,0,0
221,0,1
222,0,0
223,0,0
224,0,0
225,0,1
226,0,0
227,0,1
228,0,0
229,0,0
230,0,0
231,1,1
232,0,0
233,0,0
234,1,1
235,1,0
236,1,0
237,0,0
238,1,1
239,0,0
240,0,0
241,0,0
242,1,1
243,0,0
244,0,0
245,0,0
246,0,0
247,0,0
248,1,1
249,1,1
250,0,0
251,0,0
252,0,0
253,0,0
254,0,0
255,0,0
256,1,1
257,1,1
258,1,1
259,1,1
260,1,1
261,0,0
262,1,1
263,1,0
264,0,0
265,1,0
266,0,0
267,0,0
268,0,1
269,1,1
270,1,1
271,1,0
272,0,1
273,1,1
274,0,0
275,1,1
276,1,1
277,0,0
278,0,0
279,0,0
280,1,1
281,0,0
282,0,0
283,0,0
284,0,1
285,0,0
286,0,0
287,0,1
288,0,0
289,0,1
290,1,1
291,1,1
292,1,1
293,0,0
294,0,0
295,0,0
296,0,0
297,0,0
298,0,0
299,1,1
300,1,1
301,1,1
302,1,1
303,0,0
304,1,1
305,0,0
306,1,1
307,1,1
308,1,1
309,0,0
310,1,1
311,1,1
312,1,1
313,1,0
314,0,0
315,0,0
316,0,1
317,1,1
318,0,0
319,1,1
320,1,1
321,0,0
322,0,0
323,1,1
324,1,1
325,0,0
326,1,1
327,0,0
328,1,1
329,0,1
330,1,1
331,1,1
332,0,0
333,0,0
334,0,0
335,1,1
336,0,0
337,0,0
338,1,1
339,0,1
340,0,0
341,1,1
342,1,1
343,0,0
344,0,0
345,0,0
346,1,1
347,1,1
348,1,1
349,1,1
350,0,0
351,0,0
352,0,0
353,0,0
354,0,0
355,0,0
356,0,0
357,1,1
358,1,0
359,1,1
360,1,1
361,0,0
362,0,0
363,0,0
364,0,0
365,0,0
366,0,0
367,1,1
368,1,1
369,1,1
370,1,1
371,1,1
372,0,0
373,0,0
374,0,0
375,0,0
376,1,1
377,1,1
378,0,0
379,0,0
380,0,0
381,1,1
382,1,1
383,1,0
384,1,1
385,0,0
386,0,0
387,0,0
388,1,1
389,0,0
390,1,1
391,1,1
392,0,1
393,0,0
394,1,1
395,1,1
396,0,0
397,0,0
398,0,0
399,0,0
400,1,1
401,0,1
402,0,0
403,0,0
404,0,0
405,0,0
406,0,0
407,0,0
408,1,1
409,0,0
410,0,0
411,0,0
412,0,0
413,1,1
414,0,0
415,1,1
416,0,0
417,1,1
418,1,1
419,0,0
420,0,0
421,0,0
422,0,0
423,0,0
424,0,0
425,0,0
426,0,0
427,1,1
428,1,1
429,0,0
430,1,1
431,0,1
432,1,1
433,1,1
434,0,0
435,0,0
436,1,1
437,0,0
438,1,1
439,0,0
440,0,0
441,1,1
442,0,0
443,0,0
444,1,1
445,0,1
446,1,1
447,1,1
448,0,1
449,1,1
450,0,1
451,0,0
452,0,0
453,0,0
454,1,1
455,0,0
456,0,1
457,0,0
458,1,1
459,1,1
460,0,0
461,0,1
462,0,0
463,0,0
464,0,0
465,0,0
466,0,0
467,0,0
468,0,0
469,0,0
470,1,1
471,0,0
472,0,0
473,1,1
474,1,1
475,0,0
476,0,0
477,0,0
478,0,0
479,0,0
480,1,1
481,0,0
482,0,0
483,0,0
484,0,1
485,1,1
486,0,0
487,1,1
488,0,0
489,0,0
490,1,1
491,0,0
492,0,0
493,0,0
494,0,0
495,0,0
496,0,0
497,1,1
498,0,0
499,0,0
500,0,0
501,0,0
502,0,0
503,0,0
504,0,0
505,1,1
506,0,0
507,1,1
508,0,1
509,0,0
510,1,1
511,0,1
512,0,0
513,1,1
514,1,1
515,0,0
516,0,0
517,1,1
518,0,0
519,1,1
520,0,0
521,1,1
522,0,0
523,0,0
524,1,1
525,0,0
526,0,0
527,1,1
528,0,0
529,0,0
530,0,0
531,1,1
532,0,0
533,0,0
534,1,1
535,0,0
536,1,1
537,0,0
538,1,1
539,0,0
540,1,1
541,1,1
542,0,0
543,0,0
544,0,1
545,0,0
546,0,0
547,1,1
548,0,1
549,0,0
550,0,1
551,1,1
552,0,0
553,0,0
554,0,1
555,1,1
556,0,0
557,1,1
558,1,0
559,1,1
560,1,1
561,0,0
562,0,0
563,0,0
564,0,0
565,0,0
566,0,0
567,0,0
568,0,0
569,0,0
570,0,1
571,0,1
572,1,1
573,0,1
574,1,1
575,0,0
576,0,0
577,1,1
578,1,1
579,0,0
580,1,1
581,1,1
582,1,1
583,0,0
584,0,0
585,0,0
586,1,1
587,0,0
588,1,1
589,0,0
590,0,0
591,0,0
592,1,1
593,0,0
594,0,0
595,0,0
596,0,0
597,1,1
598,0,0
599,0,0
600,1,1
601,1,1
602,0,0
603,1,0
604,0,0
605,1,1
606,0,0
607,0,0
608,1,1
609,1,1
610,1,1
611,0,0
612,0,0
613,1,1
614,0,0
615,0,0
616,1,1
617,0,0
618,0,0
619,1,1
620,0,0
621,0,0
622,1,1
623,1,1
624,0,0
625,0,0
626,0,0
627,0,0
628,1,1
629,0,0
630,0,0
631,1,1
632,0,0
633,1,1
634,0,0
635,0,0
636,1,1
637,1,0
638,0,0
639,0,0
640,0,0
641,0,0
642,1,1
643,0,0
644,1,1
645,1,1
646,1,1
647,0,0
648,0,1
649,0,0
650,1,1
651,0,0
652,1,1
653,0,0
654,1,1
655,0,0
656,0,0
657,0,0
658,0,0
659,0,0
660,0,0
661,1,1
662,0,0
663,0,0
664,0,0
665,0,1
666,0,0
667,0,0
668,0,0
669,0,0
670,1,1
671,1,1
672,0,0
673,0,0
674,0,1
675,0,0
676,0,0
677,0,0
678,1,1
679,0,0
680,1,1
681,1,0
682,1,1
683,0,0
684,0,0
685,0,0
686,0,0
687,0,0
688,0,0
689,0,0
690,1,1
691,1,1
692,1,1
693,1,1
694,0,0
695,0,0
696,0,0
697,0,0
698,1,1
699,0,0
700,0,0
701,1,1
702,1,1
703,1,0
704,0,0
705,0,0
706,0,0
707,1,1
708,1,1
709,1,1
710,1,1
711,1,1
712,0,0
713,0,1
714,0,0
715,0,0
716,0,0
717,1,1
718,1,1
719,0,0
720,0,0
721,1,1
722,0,0
723,0,0
724,0,0
725,1,1
726,0,0
727,1,1
728,0,1
729,0,0
730,0,0
731,1,1
732,0,0
733,0,0
734,0,0
735,0,0
736,0,0
737,0,0
738,1,1
739,0,0
740,0,0
741,1,1
742,0,0
743,1,1
744,0,0
745,0,1
746,0,0
747,0,0
748,1,1
749,0,0
750,0,0
751,1,1
752,1,1
753,0,0
754,0,0
755,1,1
756,1,1
757,0,0
758,0,0
759,0,0
760,1,1
761,0,0
762,0,0
763,1,1
764,1,1
765,0,0
766,1,1
767,0,0
768,0,0
769,0,0
770,0,0
771,0,0
772,0,0
773,1,0
774,0,0
775,1,1
776,0,0
777,0,0
778,1,1
779,0,0
780,1,1
781,1,1
782,1,1
783,0,0
784,0,0
785,0,0
786,0,0
787,1,1
788,0,0
789,1,1
790,0,0
791,0,0
792,0,0
793,0,0
794,0,0
795,0,0
796,0,0
797,1,1
798,0,1
799,0,0
800,0,0
801,0,0
802,1,1
803,1,1
804,1,1
805,1,1
806,0,0
807,0,0
808,0,0
809,0,0
810,1,1
811,0,0
812,0,0
813,0,0
814,0,0
815,0,0
816,0,0
817,1,0
818,0,0
819,0,0
820,0,0
821,1,1
822,0,1
823,0,0
824,1,1
825,0,0
826,0,0
827,1,0
828,1,1
829,0,1
830,1,1
831,1,1
832,1,1
833,0,0
834,0,0
835,0,0
836,1,1
837,0,0
838,0,0
839,1,1
840,1,1
841,0,0
842,0,0
843,1,1
844,0,0
845,0,0
846,0,0
847,0,0
848,0,0
849,0,0
850,1,1
851,1,0
852,0,0
853,0,0
854,1,1
855,0,0
856,1,1
857,1,1
858,0,1
859,1,1
860,0,0
861,0,0
862,0,0
863,1,1
864,0,0
865,0,0
866,1,1
867,1,1
868,0,0
869,0,0
870,1,1
871,0,0
872,1,1
873,0,0
874,0,0
875,1,1
876,1,1
877,0,0
878,0,0
879,0,0
880,1,1
881,1,1
882,0,0
883,1,0
884,0,0
885,0,0
886,0,0
887,0,0
888,1,1
889,0,0
890,1,1
891,0,0
892,0,0
894,0,0
896,1,1
897,0,0
900,1,1
901,0,0
902,0,0
903,0,0
904,1,1
905,0,0
906,1,1
907,1,1
908,0,0
914,1,1
916,1,1
917,0,0
918,1,1
921,0,0
922,0,0
923,0,0
924,1,1
930,0,0
934,0,0
935,1,1
936,1,1
937,0,0
939,0,0
940,1,1
941,1,1
942,0,0
943,0,0
944,1,1
945,1,1
946,0,0
947,0,0
948,0,0
949,0,0
950,0,0
951,1,1
952,0,0
953,0,0
954,0,0
955,1,1
956,1,1
957,1,1
959,0,0
961,1,1
963,0,0
965,0,0
966,1,1
967,0,0
968,0,0
969,1,1
970,0,0
973,0,0
974,0,0
975,0,0
976,0,0
977,0,0
980,1,1
981,1,1
983,0,0
984,1,1
985,0,0
986,0,0
987,0,0
988,1,1
989,0,0
991,0,0
992,1,1
993,0,0
994,0,0
995,0,0
997,0,0
998,0,0
999,0,0
1001,0,0
1002,0,0
1003,1,1
1004,1,1
1007,0,0
1008,0,0
1009,1,1
1011,1,1
1012,1,1
1013,0,0
1014,1,1
1015,0,0
1016,0,0
1017,1,1
1018,0,0
1019,1,1
1020,0,0
1021,0,0
1024,0,0
1025,0,0
1026,0,0
1027,0,0
1028,0,0
1029,0,0
1031,0,0
1032,0,0
1033,1,1
1034,0,0
1035,0,0
1037,0,0
1038,0,0
1039,0,0
1041,0,0
1042,1,1
1043,0,0
1044,0,0
1046,0,0
1047,0,0
1048,1,1
1052,1,1
1053,1,1
1054,1,1
1056,0,0
1058,0,0
1059,0,0
1060,1,1
1062,0,0
1063,0,0
1064,0,0
1065,0,0
1066,0,0
1067,1,1
1068,1,1
1070,1,1
1071,1,1
1072,0,0
1073,0,0
1074,1,1
1075,0,0
1076,1,1
1077,0,0
1078,1,1
1079,0,0
1080,0,0
1081,0,0
1082,0,0
1083,0,0
1085,0,0
1086,1,1
1087,0,0
1088,1,1
1090,0,0
1092,1,1
1093,1,1
1095,1,1
1096,0,0
1100,1,1
1101,0,0
1102,0,0
1103,0,0
1104,0,0
1107,0,0
1108,1,1
1109,0,0
1110,1,1
1111,0,0
1112,1,1
1113,0,0
1114,1,1
1116,1,1
1118,0,0
1119,1,1
1120,0,0
1121,0,0
1122,0,0
1123,1,1
1124,0,0
1125,0,0
1127,0,0
1131,1,1
1133,1,1
1135,0,0
1137,0,0
1138,1,1
1139,0,0
1140,1,1
1142,1,1
1143,0,0
1144,0,0
1145,0,0
1146,0,0
1147,0,0
1148,0,0
1149,0,0
1150,1,1
1151,0,0
1152,0,0
1153,0,0
1154,1,1
1156,0,0
1157,0,0
1158,0,0
1159,0,0
1161,0,0
1162,0,0
1163,0,0
1164,1,1
1165,1,1
1166,0,0
1167,1,1
1168,0,0
1169,0,0
1170,0,0
1171,0,0
1174,1,1
1177,0,0
1178,0,0
1180,0,0
1181,0,0
1182,0,0
1184,0,0
1186,0,0
1187,0,0
1188,1,1
1189,0,0
1190,0,0
1191,0,0
1192,0,0
1193,0,0
1194,0,0
1195,0,0
1196,1,1
1197,1,1
1199,1,1
1200,0,0
1202,0,0
1204,0,0
1206,1,1
1208,0,0
1209,0,0
1210,0,0
1211,0,0
1212,0,0
1214,0,0
1216,1,1
1217,0,0
1218,1,1
1220,0,0
1221,0,0
1222,1,1
1224,0,0
1226,0,0
1227,0,0
1229,0,0
1230,0,0
1231,0,0
1234,0,0
1235,1,1
1237,1,1
1238,0,0
1240,0,0
1241,1,1
1242,1,1
1243,0,0
1244,0,0
1245,0,0
1246,1,1
1247,0,0
1248,1,1
1249,0,0
1250,0,0
1252,0,0
1253,1,1
1254,1,1
1256,1,1
1257,0,0
1258,0,0
1260,1,1
1262,0,0
1263,1,1
1265,0,0
1266,1,1
1267,1,1
1269,0,0
1270,0,0
1271,0,0
1272,0,0
1273,0,0
1276,0,0
1277,1,1
1278,0,0
1279,0,0
1280,0,0
1281,0,0
1282,0,0
1283,1,1
1285,0,0
1287,1,1
1288,0,0
1289,1,1
1290,0,0
1291,0,0
1292,1,1
1293,0,0
1294,1,1
1295,0,0
1298,0,0
1299,0,0
1302,1,1
1303,1,1
1305,0,0
1306,1,1
1307,0,0
1308,0,0
1309,1,1
